year,panel,gram_canonical,total_words,total
1989,1: Birth of conservation,preservation,9187930,236
1990,1: Birth of conservation,preservation,9827250,310
1991,1: Birth of conservation,preservation,10692126,434
1992,1: Birth of conservation,preservation,11532841,335
1993,1: Birth of conservation,preservation,11863228,366
1994,1: Birth of conservation,preservation,12424547,350
1995,1: Birth of conservation,preservation,13968243,502
1996,1: Birth of conservation,preservation,15100715,513
1997,1: Birth of conservation,preservation,15395967,446
1998,1: Birth of conservation,preservation,16912010,487
1999,1: Birth of conservation,preservation,16924957,663
2000,1: Birth of conservation,preservation,18064233,411
2001,1: Birth of conservation,preservation,19322097,564
2002,1: Birth of conservation,preservation,18790584,401
2003,1: Birth of conservation,preservation,20408258,468
2004,1: Birth of conservation,preservation,20858212,635
2005,1: Birth of conservation,preservation,21777074,615
2006,1: Birth of conservation,preservation,23460538,593
2007,1: Birth of conservation,preservation,23407699,670
2008,1: Birth of conservation,preservation,26392520,710
2009,1: Birth of conservation,preservation,26767306,592
2010,1: Birth of conservation,preservation,23931224,703
2011,1: Birth of conservation,preservation,24867009,668
1920,1: Birth of conservation,restoration,630090,16
1921,1: Birth of conservation,restoration,589125,5
1922,1: Birth of conservation,restoration,536084,4
1923,1: Birth of conservation,restoration,711435,3
1924,1: Birth of conservation,restoration,684937,13
1925,1: Birth of conservation,restoration,860483,8
1926,1: Birth of conservation,restoration,824677,17
1927,1: Birth of conservation,restoration,797713,6
1928,1: Birth of conservation,restoration,889702,7
1929,1: Birth of conservation,restoration,880254,12
1930,1: Birth of conservation,restoration,940855,9
1931,1: Birth of conservation,restoration,1279796,23
1932,1: Birth of conservation,restoration,1186501,22
1933,1: Birth of conservation,restoration,898679,23
1934,1: Birth of conservation,restoration,1224182,18
1935,1: Birth of conservation,restoration,1180563,28
1936,1: Birth of conservation,restoration,1205270,13
1937,1: Birth of conservation,restoration,1333413,52
1938,1: Birth of conservation,restoration,1096306,21
1939,1: Birth of conservation,restoration,977570,14
1940,1: Birth of conservation,restoration,1030652,15
1941,1: Birth of conservation,restoration,870866,15
1942,1: Birth of conservation,restoration,923110,16
1943,1: Birth of conservation,restoration,781624,2
1944,1: Birth of conservation,restoration,802533,12
1945,1: Birth of conservation,restoration,695500,6
1946,1: Birth of conservation,restoration,906932,3
1947,1: Birth of conservation,restoration,1034692,7
1948,1: Birth of conservation,restoration,906817,8
1949,1: Birth of conservation,restoration,949573,19
1950,1: Birth of conservation,restoration,1257239,6
1951,1: Birth of conservation,restoration,1272147,14
1952,1: Birth of conservation,restoration,1338935,8
1953,1: Birth of conservation,restoration,1246757,8
1954,1: Birth of conservation,restoration,1348685,12
1955,1: Birth of conservation,restoration,1510331,9
1956,1: Birth of conservation,restoration,1486176,15
1957,1: Birth of conservation,restoration,1535449,23
1958,1: Birth of conservation,restoration,1709098,20
1959,1: Birth of conservation,restoration,1586959,19
1960,1: Birth of conservation,restoration,1782508,15
1961,1: Birth of conservation,restoration,1765657,41
1962,1: Birth of conservation,restoration,1753664,31
1963,1: Birth of conservation,restoration,1844840,21
1964,1: Birth of conservation,restoration,2285016,95
1965,1: Birth of conservation,restoration,2366519,60
1966,1: Birth of conservation,restoration,2646845,31
1967,1: Birth of conservation,restoration,2436421,55
1968,1: Birth of conservation,restoration,2817575,10
1969,1: Birth of conservation,restoration,3165729,26
1970,1: Birth of conservation,restoration,3398488,39
1971,1: Birth of conservation,restoration,3876617,76
1972,1: Birth of conservation,restoration,3861897,91
1973,1: Birth of conservation,restoration,3944110,25
1974,1: Birth of conservation,restoration,4327880,36
1975,1: Birth of conservation,restoration,4926792,95
1976,1: Birth of conservation,restoration,4851135,45
1977,1: Birth of conservation,restoration,5986495,118
1978,1: Birth of conservation,restoration,5653233,47
1979,1: Birth of conservation,restoration,5693994,26
1980,1: Birth of conservation,restoration,6331998,70
1981,1: Birth of conservation,restoration,6748054,101
1982,1: Birth of conservation,restoration,6661455,52
1983,1: Birth of conservation,restoration,7131449,115
1984,1: Birth of conservation,restoration,7405435,111
1985,1: Birth of conservation,restoration,7790280,108
1986,1: Birth of conservation,restoration,7205017,141
1987,1: Birth of conservation,restoration,8232279,209
1988,1: Birth of conservation,restoration,9127375,183
1989,1: Birth of conservation,restoration,9187930,173
1990,1: Birth of conservation,restoration,9827250,220
1991,1: Birth of conservation,restoration,10692126,286
1992,1: Birth of conservation,restoration,11532841,297
1993,1: Birth of conservation,restoration,11863228,438
1994,1: Birth of conservation,restoration,12424547,633
1995,1: Birth of conservation,restoration,13968243,554
1996,1: Birth of conservation,restoration,15100715,884
1997,1: Birth of conservation,restoration,15395967,1217
1998,1: Birth of conservation,restoration,16912010,1220
1999,1: Birth of conservation,restoration,16924957,1353
2000,1: Birth of conservation,restoration,18064233,1134
2001,1: Birth of conservation,restoration,19322097,1836
2002,1: Birth of conservation,restoration,18790584,2083
2003,1: Birth of conservation,restoration,20408258,2400
2004,1: Birth of conservation,restoration,20858212,2504
2005,1: Birth of conservation,restoration,21777074,4517
2006,1: Birth of conservation,restoration,23460538,2647
2007,1: Birth of conservation,restoration,23407699,3595
2008,1: Birth of conservation,restoration,26392520,4342
2009,1: Birth of conservation,restoration,26767306,4057
2010,1: Birth of conservation,restoration,23931224,3860
2011,1: Birth of conservation,restoration,24867009,5153
1923,2: Threats to biodiversity,climate change,711435,6
1925,2: Threats to biodiversity,climate change,860483,1
1927,2: Threats to biodiversity,climate change,797713,1
1928,2: Threats to biodiversity,climate change,889702,2
1931,2: Threats to biodiversity,climate change,1279796,3
1933,2: Threats to biodiversity,climate change,898679,5
1934,2: Threats to biodiversity,climate change,1224182,2
1935,2: Threats to biodiversity,climate change,1180563,4
1936,2: Threats to biodiversity,climate change,1205270,2
1937,2: Threats to biodiversity,climate change,1333413,1
1938,2: Threats to biodiversity,climate change,1096306,3
1939,2: Threats to biodiversity,climate change,977570,14
1940,2: Threats to biodiversity,climate change,1030652,5
1941,2: Threats to biodiversity,climate change,870866,4
1942,2: Threats to biodiversity,climate change,923110,3
1943,2: Threats to biodiversity,climate change,781624,3
1946,2: Threats to biodiversity,climate change,906932,5
1947,2: Threats to biodiversity,climate change,1034692,1
1948,2: Threats to biodiversity,climate change,906817,6
1949,2: Threats to biodiversity,climate change,949573,4
1950,2: Threats to biodiversity,climate change,1257239,3
1951,2: Threats to biodiversity,climate change,1272147,8
1952,2: Threats to biodiversity,climate change,1338935,1
1953,2: Threats to biodiversity,climate change,1246757,6
1954,2: Threats to biodiversity,climate change,1348685,1
1955,2: Threats to biodiversity,climate change,1510331,5
1956,2: Threats to biodiversity,climate change,1486176,21
1957,2: Threats to biodiversity,climate change,1535449,14
1958,2: Threats to biodiversity,climate change,1709098,10
1959,2: Threats to biodiversity,climate change,1586959,8
1960,2: Threats to biodiversity,climate change,1782508,22
1961,2: Threats to biodiversity,climate change,1765657,15
1962,2: Threats to biodiversity,climate change,1753664,7
1963,2: Threats to biodiversity,climate change,1844840,10
1964,2: Threats to biodiversity,climate change,2285016,36
1965,2: Threats to biodiversity,climate change,2366519,24
1966,2: Threats to biodiversity,climate change,2646845,18
1967,2: Threats to biodiversity,climate change,2436421,10
1968,2: Threats to biodiversity,climate change,2817575,24
1969,2: Threats to biodiversity,climate change,3165729,40
1970,2: Threats to biodiversity,climate change,3398488,28
1971,2: Threats to biodiversity,climate change,3876617,15
1972,2: Threats to biodiversity,climate change,3861897,30
1973,2: Threats to biodiversity,climate change,3944110,46
1974,2: Threats to biodiversity,climate change,4327880,35
1975,2: Threats to biodiversity,climate change,4926792,68
1976,2: Threats to biodiversity,climate change,4851135,33
1977,2: Threats to biodiversity,climate change,5986495,110
1978,2: Threats to biodiversity,climate change,5653233,42
1979,2: Threats to biodiversity,climate change,5693994,96
1980,2: Threats to biodiversity,climate change,6331998,96
1981,2: Threats to biodiversity,climate change,6748054,49
1982,2: Threats to biodiversity,climate change,6661455,54
1983,2: Threats to biodiversity,climate change,7131449,71
1984,2: Threats to biodiversity,climate change,7405435,91
1985,2: Threats to biodiversity,climate change,7790280,152
1986,2: Threats to biodiversity,climate change,7205017,110
1987,2: Threats to biodiversity,climate change,8232279,109
1988,2: Threats to biodiversity,climate change,9127375,250
1989,2: Threats to biodiversity,climate change,9187930,346
1990,2: Threats to biodiversity,climate change,9827250,468
1991,2: Threats to biodiversity,climate change,10692126,869
1992,2: Threats to biodiversity,climate change,11532841,897
1993,2: Threats to biodiversity,climate change,11863228,945
1994,2: Threats to biodiversity,climate change,12424547,926
1995,2: Threats to biodiversity,climate change,13968243,2040
1996,2: Threats to biodiversity,climate change,15100715,1216
1997,2: Threats to biodiversity,climate change,15395967,2114
1998,2: Threats to biodiversity,climate change,16912010,1608
1999,2: Threats to biodiversity,climate change,16924957,1991
2000,2: Threats to biodiversity,climate change,18064233,1756
2001,2: Threats to biodiversity,climate change,19322097,2211
2002,2: Threats to biodiversity,climate change,18790584,2300
2003,2: Threats to biodiversity,climate change,20408258,2739
2004,2: Threats to biodiversity,climate change,20858212,3829
2005,2: Threats to biodiversity,climate change,21777074,4448
2006,2: Threats to biodiversity,climate change,23460538,5058
2007,2: Threats to biodiversity,climate change,23407699,5491
2008,2: Threats to biodiversity,climate change,26392520,8372
2009,2: Threats to biodiversity,climate change,26767306,8646
2010,2: Threats to biodiversity,climate change,23931224,9966
2011,2: Threats to biodiversity,climate change,24867009,9168
1973,2: Threats to biodiversity,habitat loss,3944110,2
1978,2: Threats to biodiversity,habitat loss,5653233,2
1979,2: Threats to biodiversity,habitat loss,5693994,2
1980,2: Threats to biodiversity,habitat loss,6331998,2
1982,2: Threats to biodiversity,habitat loss,6661455,11
1983,2: Threats to biodiversity,habitat loss,7131449,4
1984,2: Threats to biodiversity,habitat loss,7405435,23
1985,2: Threats to biodiversity,habitat loss,7790280,7
1986,2: Threats to biodiversity,habitat loss,7205017,13
1987,2: Threats to biodiversity,habitat loss,8232279,16
1988,2: Threats to biodiversity,habitat loss,9127375,31
1989,2: Threats to biodiversity,habitat loss,9187930,25
1990,2: Threats to biodiversity,habitat loss,9827250,46
1991,2: Threats to biodiversity,habitat loss,10692126,61
1992,2: Threats to biodiversity,habitat loss,11532841,125
1993,2: Threats to biodiversity,habitat loss,11863228,76
1994,2: Threats to biodiversity,habitat loss,12424547,303
1995,2: Threats to biodiversity,habitat loss,13968243,370
1996,2: Threats to biodiversity,habitat loss,15100715,368
1997,2: Threats to biodiversity,habitat loss,15395967,323
1998,2: Threats to biodiversity,habitat loss,16912010,414
1999,2: Threats to biodiversity,habitat loss,16924957,581
2000,2: Threats to biodiversity,habitat loss,18064233,756
2001,2: Threats to biodiversity,habitat loss,19322097,632
2002,2: Threats to biodiversity,habitat loss,18790584,744
2003,2: Threats to biodiversity,habitat loss,20408258,1015
2004,2: Threats to biodiversity,habitat loss,20858212,997
2005,2: Threats to biodiversity,habitat loss,21777074,1330
2006,2: Threats to biodiversity,habitat loss,23460538,1184
2007,2: Threats to biodiversity,habitat loss,23407699,1577
2008,2: Threats to biodiversity,habitat loss,26392520,1649
2009,2: Threats to biodiversity,habitat loss,26767306,1654
2010,2: Threats to biodiversity,habitat loss,23931224,1413
2011,2: Threats to biodiversity,habitat loss,24867009,2091
2012,2: Threats to biodiversity,habitat loss,17761987,604
2013,2: Threats to biodiversity,habitat loss,18742838,767
2014,2: Threats to biodiversity,habitat loss,10049228,574
1921,2: Threats to biodiversity,invasive species,589125,1
1922,2: Threats to biodiversity,invasive species,536084,1
1932,2: Threats to biodiversity,invasive species,1186501,17
1935,2: Threats to biodiversity,invasive species,1180563,2
1937,2: Threats to biodiversity,invasive species,1333413,1
1945,2: Threats to biodiversity,invasive species,695500,7
1947,2: Threats to biodiversity,invasive species,1034692,3
1948,2: Threats to biodiversity,invasive species,906817,3
1950,2: Threats to biodiversity,invasive species,1257239,1
1953,2: Threats to biodiversity,invasive species,1246757,4
1954,2: Threats to biodiversity,invasive species,1348685,1
1956,2: Threats to biodiversity,invasive species,1486176,1
1958,2: Threats to biodiversity,invasive species,1709098,53
1961,2: Threats to biodiversity,invasive species,1765657,1
1962,2: Threats to biodiversity,invasive species,1753664,2
1963,2: Threats to biodiversity,invasive species,1844840,1
1964,2: Threats to biodiversity,invasive species,2285016,5
1965,2: Threats to biodiversity,invasive species,2366519,4
1966,2: Threats to biodiversity,invasive species,2646845,2
1967,2: Threats to biodiversity,invasive species,2436421,4
1968,2: Threats to biodiversity,invasive species,2817575,3
1969,2: Threats to biodiversity,invasive species,3165729,1
1971,2: Threats to biodiversity,invasive species,3876617,2
1972,2: Threats to biodiversity,invasive species,3861897,5
1973,2: Threats to biodiversity,invasive species,3944110,3
1974,2: Threats to biodiversity,invasive species,4327880,9
1975,2: Threats to biodiversity,invasive species,4926792,14
1976,2: Threats to biodiversity,invasive species,4851135,8
1977,2: Threats to biodiversity,invasive species,5986495,32
1978,2: Threats to biodiversity,invasive species,5653233,11
1979,2: Threats to biodiversity,invasive species,5693994,12
1980,2: Threats to biodiversity,invasive species,6331998,18
1981,2: Threats to biodiversity,invasive species,6748054,10
1982,2: Threats to biodiversity,invasive species,6661455,5
1983,2: Threats to biodiversity,invasive species,7131449,47
1984,2: Threats to biodiversity,invasive species,7405435,27
1985,2: Threats to biodiversity,invasive species,7790280,28
1986,2: Threats to biodiversity,invasive species,7205017,127
1987,2: Threats to biodiversity,invasive species,8232279,52
1988,2: Threats to biodiversity,invasive species,9127375,43
1989,2: Threats to biodiversity,invasive species,9187930,74
1990,2: Threats to biodiversity,invasive species,9827250,39
1991,2: Threats to biodiversity,invasive species,10692126,95
1992,2: Threats to biodiversity,invasive species,11532841,98
1993,2: Threats to biodiversity,invasive species,11863228,102
1994,2: Threats to biodiversity,invasive species,12424547,157
1995,2: Threats to biodiversity,invasive species,13968243,185
1996,2: Threats to biodiversity,invasive species,15100715,282
1997,2: Threats to biodiversity,invasive species,15395967,422
1998,2: Threats to biodiversity,invasive species,16912010,683
1999,2: Threats to biodiversity,invasive species,16924957,715
2000,2: Threats to biodiversity,invasive species,18064233,869
2001,2: Threats to biodiversity,invasive species,19322097,1350
2002,2: Threats to biodiversity,invasive species,18790584,1782
2003,2: Threats to biodiversity,invasive species,20408258,2016
2004,2: Threats to biodiversity,invasive species,20858212,3957
2005,2: Threats to biodiversity,invasive species,21777074,3820
2006,2: Threats to biodiversity,invasive species,23460538,4878
2007,2: Threats to biodiversity,invasive species,23407699,5364
2008,2: Threats to biodiversity,invasive species,26392520,8023
2009,2: Threats to biodiversity,invasive species,26767306,7379
2010,2: Threats to biodiversity,invasive species,23931224,7331
2011,2: Threats to biodiversity,invasive species,24867009,10390
1955,2: Threats to biodiversity,overexploitation,1510331,2
1964,2: Threats to biodiversity,overexploitation,2285016,1
1966,2: Threats to biodiversity,overexploitation,2646845,1
1968,2: Threats to biodiversity,overexploitation,2817575,1
1969,2: Threats to biodiversity,overexploitation,3165729,1
1970,2: Threats to biodiversity,overexploitation,3398488,4
1971,2: Threats to biodiversity,overexploitation,3876617,1
1972,2: Threats to biodiversity,overexploitation,3861897,2
1973,2: Threats to biodiversity,overexploitation,3944110,2
1974,2: Threats to biodiversity,overexploitation,4327880,9
1975,2: Threats to biodiversity,overexploitation,4926792,4
1976,2: Threats to biodiversity,overexploitation,4851135,7
1977,2: Threats to biodiversity,overexploitation,5986495,4
1978,2: Threats to biodiversity,overexploitation,5653233,18
1979,2: Threats to biodiversity,overexploitation,5693994,14
1980,2: Threats to biodiversity,overexploitation,6331998,23
1981,2: Threats to biodiversity,overexploitation,6748054,8
1982,2: Threats to biodiversity,overexploitation,6661455,8
1983,2: Threats to biodiversity,overexploitation,7131449,10
1984,2: Threats to biodiversity,overexploitation,7405435,14
1985,2: Threats to biodiversity,overexploitation,7790280,12
1986,2: Threats to biodiversity,overexploitation,7205017,6
1987,2: Threats to biodiversity,overexploitation,8232279,15
1988,2: Threats to biodiversity,overexploitation,9127375,18
1989,2: Threats to biodiversity,overexploitation,9187930,15
1990,2: Threats to biodiversity,overexploitation,9827250,21
1991,2: Threats to biodiversity,overexploitation,10692126,22
1992,2: Threats to biodiversity,overexploitation,11532841,31
1993,2: Threats to biodiversity,overexploitation,11863228,41
