order,panel,gram,gram_canonical
1,Invasive species,exotic species,exotic species
 ,Invasive species,exotics,exotic species
 ,Invasive species,alien,exotic species
 ,Invasive species,aliens,exotic species
 ,Invasive species,nonnative,non-native
 ,Invasive species,nonnatives,non-native
 ,Invasive species,non native,non-native
 ,Invasive species,non natives,non-native
 ,Invasive species,invasive species,invasive species
 ,Invasive species,invasives,invasive species
