order,panel,gram,gram_canonical
1,Human Behaviour,attitudes,attitudes
,Human Behaviour,attitude,attitudes
,Human Behaviour,perceptions,perceptions
,Human Behaviour,social norms,social norms
,Human Behaviour,behavioral intention,behavioral intention
,Human Behaviour,behavioral intentions,behavioral intention
,Human Behaviour,behavioural intention,behavioral intention
,Human Behaviour,behavioural intentions,behavioral intention
