Code,Detail
IN,Accepted
TS,Taxon specific
TB,Too broad
RS,Region specific
NC,Not enough coverage unless current
EN,Not English
??,No judgement
NR,Not relevant to ecology and conservation
KS,Kingdom specific = okay
BS,Biological Sciences (and not otherwise included)
Notes,
Previous titles of journals are included by default unless not in English (see Oecologia),
"Latitude okay for region, but not longitude",
