show, panel, gram, gram_canonical
yes, fields, conservation, conservation 
yes, fields, natural history, natural history 
yes, fields, preservation, preservation 
no, fields, ecology, ecology
yes, fields,basic ecology,basic ecology
yes, fields,applied ecology,applied ecology
yes, movements,preservation,preservation
yes, movements,environmental,environmental
no, movements, naturalist, naturalist 
yes, movements,conservation,conservation
no, movements, ecologist, ecologist
yes, management, preserve, preserve 
yes, management, reserve, reserve 
yes, management, parks, parks 
yes, management, protected area, protected area
yes, management,MPA,MPA
yes, management,PAS,PAS
yes, re-emerging, restoration, restoration 
yes, re-emerging, refugia, refugia 
yes, re-emerging, valuation, valuation 
yes, re-emerging, biodiversity, biodiversity
